cycle,capacity
1.0,1.8550045207910817
2.0,1.8431955317089987
3.0,1.8396018424355423
4.0,1.8306736044962053
5.0,1.8327002069419656
6.0,1.8285288846046388
7.0,1.8212011895697924
8.0,1.8151700106433282
9.0,1.8042980520967649
10.0,1.8231002302844226
11.0,1.8121253520255494
12.0,1.8046916382117766
13.0,1.790844349786295
14.0,1.783470722841926
15.0,1.7809386125310702
16.0,1.771209039672698
17.0,1.7686303996707076
18.0,1.7536304801917124
19.0,1.7462197416415093
20.0,1.7376647337053737
21.0,1.7315166735475835
22.0,1.7085949894470602
23.0,1.711469957068211
24.0,1.7075021373272627
25.0,1.7492382064360228
26.0,1.7327697147429955
27.0,1.7222313328292376
28.0,1.711846298984729
29.0,1.699267835126687
30.0,1.6940366439243106
31.0,1.6819027078768087
32.0,1.6769770618433686
33.0,1.6655229306478936
34.0,1.6571924575832084
35.0,1.6482241555294048
36.0,1.6387701497987262
37.0,1.6276486907262062
38.0,1.62215370227252
39.0,1.6140066510467586
40.0,1.6760516154424623
41.0,1.649300642552199
42.0,1.63238299185809
43.0,1.6164159719025777
44.0,1.6109028378249377
45.0,1.5954638693695657
46.0,1.726707440085764
47.0,1.7165673917429753
48.0,1.6958235570934848
49.0,1.6777783190792557
50.0,1.6606586897774192
51.0,1.6664109274827466
52.0,1.6468336174407805
53.0,1.6257639928779952
54.0,1.6121577411874595
55.0,1.6057366823755344
56.0,1.673645314879889
57.0,1.6404348572349936
58.0,1.6132653317422077
59.0,1.5920964324686278
60.0,1.5866011820698824
61.0,1.5800766490336253
62.0,1.5641732953289167
63.0,1.555618272193922
64.0,1.5402045278637397
65.0,1.5321613015959863
66.0,1.5316232403693415
67.0,1.5222595950771978
68.0,1.5065267126851283
69.0,1.5014219556532926
70.0,1.4963534117486457
71.0,1.5334262000312422
72.0,1.523845267514426
73.0,1.5011920994261239
74.0,1.492417671450291
75.0,1.483323851940123
76.0,1.4807376792294196
77.0,1.4735077809902477
78.0,1.46801928526661
79.0,1.4580923557119019
80.0,1.4478660988891399
81.0,1.4527808777541982
82.0,1.4425356364492432
83.0,1.4392712877203313
84.0,1.4286475681888218
85.0,1.4249026750004896
86.0,1.4698115324524124
87.0,1.4525819651050202
88.0,1.442834198908794
89.0,1.428376058807949
90.0,1.4154547844370715
91.0,1.454576670077708
92.0,1.4283179548274056
93.0,1.4197026883204058
94.0,1.4155606630306516
95.0,1.405680035419228
96.0,1.4084461071166137
97.0,1.3968547782872414
98.0,1.3935670371440676
99.0,1.3893644292809475
100.0,1.3785651415666713
101.0,1.384901110085747
102.0,1.3703251814242443
103.0,1.3733464385229082
104.0,1.3679487285504814
105.0,1.3567141087089647
106.0,1.4604310209194575
107.0,1.4500998937104097
108.0,1.4381406901824496
109.0,1.4283681980964316
110.0,1.4147874517552432
111.0,1.413889163393182
112.0,1.3989331662177225
113.0,1.3953322584033976
114.0,1.390046129540245
115.0,1.3860271454209647
116.0,1.388215260193751
117.0,1.3761826562394497
118.0,1.3647168898640165
119.0,1.3589854739373584
120.0,1.3462308764008801
121.0,1.4268427818454643
122.0,1.4064481483279663
123.0,1.3934907492075153
124.0,1.3882493512249316
125.0,1.3701878338420928
126.0,1.3796951665608619
127.0,1.3686586323935683
128.0,1.3627371779096438
129.0,1.3634051133928073
130.0,1.3518646035305233
131.0,1.3547969729652622
132.0,1.341051440640485
