cycle,capacity
1.0,1.8564874208181574
2.0,1.846327249719927
3.0,1.8353491942234077
4.0,1.8352625275821128
5.0,1.8346455082120419
6.0,1.8356616600675495
7.0,1.8351461429226603
8.0,1.8257567905665537
9.0,1.8247738529891333
10.0,1.824613268496936
11.0,1.8246195526864504
12.0,1.8142019357673917
13.0,1.8137521577549054
14.0,1.8134404914735822
15.0,1.8025980036306504
16.0,1.80210690024615
17.0,1.802579500826209
18.0,1.8030683142834096
19.0,1.8027776247196041
20.0,1.8470259949329193
21.0,1.847417311283644
22.0,1.8361774213478947
23.0,1.8257807475776242
24.0,1.8251136435078368
25.0,1.8255815042203762
26.0,1.8140311275083907
27.0,1.8147691941158939
28.0,1.813969388710352
29.0,1.802765665167823
30.0,1.804077040117352
31.0,1.8518025516704486
32.0,1.8307038456739428
33.0,1.8199041089501267
34.0,1.8093079637028517
35.0,1.80460990458052
36.0,1.7993770651972192
37.0,1.7884432335370462
38.0,1.7829230484252723
39.0,1.7730337158018288
40.0,1.773037755078937
41.0,1.7678721106662054
42.0,1.7623150704093087
43.0,1.7676172924938447
44.0,1.762668359743147
45.0,1.7517304870664143
46.0,1.7418496047960008
47.0,1.7360913511847138
48.0,1.7936240148573608
49.0,1.7831890223273275
50.0,1.7673642076278957
51.0,1.7570177850353066
52.0,1.7468706179837907
53.0,1.7417172507457144
54.0,1.7364225056478186
55.0,1.7263217239235826
56.0,1.7158065389330133
57.0,1.710533351135192
58.0,1.706014499648521
59.0,1.7003110272642588
60.0,1.6945798601797895
61.0,1.6849029086609286
62.0,1.6744741591159717
63.0,1.6745692479879102
64.0,1.663716375981405
65.0,1.659013868748246
66.0,1.6538540573335014
67.0,1.642653782130131
68.0,1.6378578430223698
69.0,1.6327350407099108
70.0,1.6277528915533617
71.0,1.622125485521159
72.0,1.6113256603765849
73.0,1.6065631397488385
74.0,1.6015142233917594
75.0,1.590369231400328
76.0,1.5857889968242211
77.0,1.5849430707374117
78.0,1.5955263892495937
79.0,1.5747301747801037
80.0,1.5649019950937946
81.0,1.5597659473370362
82.0,1.5594815668184234
83.0,1.55468935359061
84.0,1.5488741079890418
85.0,1.538236598942558
86.0,1.527914258251028
87.0,1.5285252629756445
88.0,1.522647325284378
89.0,1.5174859938489869
90.0,1.605818899130659
91.0,1.5638491446744425
92.0,1.5480915247767786
93.0,1.5323755631868592
94.0,1.5269528268489705
95.0,1.5169573017136326
96.0,1.5118975960142693
97.0,1.5065638960681105
98.0,1.5015453526671363
99.0,1.4908444050400238
100.0,1.485868384561201
101.0,1.480413677976106
102.0,1.4752095869031632
103.0,1.4859035988304024
104.0,1.4960918298136696
105.0,1.4808005946928984
106.0,1.4697543268466824
107.0,1.4539012274845928
108.0,1.4541462067235693
109.0,1.455023751906683
110.0,1.449042163761236
111.0,1.4386709371480566
112.0,1.433445432156979
113.0,1.4333958900838095
114.0,1.42806487344776
115.0,1.4229203181741186
116.0,1.417429032731308
117.0,1.412409228794446
118.0,1.412578792940193
119.0,1.4075983731469897
120.0,1.4333920485221476
121.0,1.4382550176792908
122.0,1.4173547174485526
123.0,1.406981663677643
124.0,1.4012037783587625
125.0,1.3967008232726328
126.0,1.391284788852726
127.0,1.3862287677978349
128.0,1.3804366761974138
129.0,1.3752364150256224
130.0,1.3705128024895008
131.0,1.3705085566270399
132.0,1.3647355108681518
133.0,1.375392016895762
134.0,1.3861115151535393
135.0,1.3698500035838939
136.0,1.3647827949260758
137.0,1.3543220466259964
138.0,1.3546417018378962
139.0,1.3547039213192407
140.0,1.349314997503458
141.0,1.3441891937970554
142.0,1.3389913790695755
143.0,1.3389145230206971
144.0,1.3340066759761655
145.0,1.3286444309174914
146.0,1.3231708992276219
147.0,1.3181691588445197
148.0,1.3184664436640334
149.0,1.318293040102702
150.0,1.323872422244268
151.0,1.3601216766554785
152.0,1.3395306867947354
153.0,1.3290286565120697
154.0,1.3236741274998955
155.0,1.318633896753293
156.0,1.3134751321324272
157.0,1.3132020634442203
158.0,1.3077959946944353
159.0,1.3030329186405918
160.0,1.3033573559038205
161.0,1.3034100438655642
162.0,1.2978870806495706
163.0,1.2980735056918902
164.0,1.293463613844243
165.0,1.288003392619118
166.0,1.2874525221379407
167.0,1.3090153642307354
168.0,1.3250793286429356
